loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
18000.0, 60,19.48,471.7,E,E2,Software Manager,7 years,RENT,150000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,9.39,Jun-2005,18.0,1.0,14052.0,40.7,27.0,w,Individual,2.0,1.0
28000.0, 36,6.49,858.05,A,A2,Senior Manager,10+ years,MORTGAGE,92000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.6,May-1984,16.0,0.0,51507.0,64.5,24.0,w,Individual,2.0,0.0
9600.0, 36,7.49,298.58,A,A4,tech,8 years,MORTGAGE,60000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,22.44,Jun-1996,7.0,0.0,7722.0,59.4,9.0,w,Individual,0.0,0.0
25000.0, 36,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,26.02,Dec-2001,9.0,0.0,20862.0,54.3,19.0,w,Individual,3.0,0.0
18000.0, 60,11.99,400.31,C,C1,GS-11,10+ years,MORTGAGE,112000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,8.68,Nov-1993,17.0,0.0,10711.0,15.5,27.0,w,Individual,4.0,0.0
23000.0, 60,8.49,471.77,B,B1,Teacher,5 years,RENT,64000.0,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,18.28,Sep-2001,21.0,0.0,24940.0,52.7,33.0,w,Individual,0.0,0.0
8650.0, 36,19.89,320.99,E,E3,Program Coordinator ,8 years,RENT,55000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.49,Mar-2005,18.0,1.0,9568.0,46.0,19.0,w,Individual,0.0,1.0
29900.0, 60,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.77,May-2004,15.0,0.0,31682.0,46.7,31.0,w,Individual,2.0,0.0
16000.0, 60,14.85,379.39,C,C5,Bookkeeper/Accounting,10+ years,MORTGAGE,48000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,33.18,Jun-1991,11.0,2.0,19108.0,29.6,19.0,w,Individual,2.0,0.0
28000.0, 36,13.44,949.38,C,C3,Director of Product Development ,2 years,OWN,125000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,7.49,May-2000,6.0,0.0,22780.0,63.1,22.0,w,Individual,0.0,0.0
5000.0, 36,13.44,169.54,C,C3,General Manager,2 years,RENT,79000.0,Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,12.7,Oct-2011,3.0,0.0,9441.0,101.5,5.0,w,Individual,0.0,0.0
6000.0, 36,7.49,186.61,A,A4,Analyst,10+ years,MORTGAGE,100000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.28,May-1994,9.0,0.0,8563.0,72.0,16.0,w,Individual,2.0,0.0
4225.0, 36,14.85,146.16,C,C5,mechanic,5 years,RENT,35000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,15.22,Jul-2011,6.0,0.0,1058.0,24.6,6.0,w,Individual,0.0,0.0
20000.0, 36,5.32,602.3,A,A1,driver,9 years,OWN,65000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18.83,May-1991,12.0,0.0,2269.0,3.0,17.0,w,Individual,0.0,0.0
16000.0, 60,17.97,406.04,D,D4,Professional Sales Associate,< 1 year,MORTGAGE,109000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.35,Apr-2002,11.0,0.0,42469.0,87.6,33.0,w,Individual,1.0,0.0
17600.0, 36,5.32,530.03,A,A1,Network Security Specialist III,< 1 year,MORTGAGE,88000.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,26.59,May-2001,20.0,0.0,12203.0,34.4,42.0,w,Individual,5.0,0.0
15000.0, 36,5.32,451.73,A,A1,DEPUTY SHERIFF,10+ years,MORTGAGE,44000.0,Source Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,15.34,Jun-2002,7.0,0.0,17003.0,50.3,21.0,w,Individual,2.0,0.0
16000.0, 36,12.88,538.18,C,C2,"Owner, Fee Appraiser ",10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,Charged Off,small_business,Business,18.96,Dec-1985,7.0,1.0,5157.0,54.3,20.0,w,Individual,0.0,0.0
24250.0, 60,24.24,701.01,F,F3,hvac technician,4 years,MORTGAGE,75000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,,20.84,Apr-2007,18.0,0.0,24799.0,65.3,21.0,w,Individual,2.0,0.0
12000.0, 36,10.78,391.62,B,B4,Public Affairs Specialist ,1 year,RENT,98000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,24.04,Feb-2002,15.0,1.0,20462.0,62.8,39.0,w,Individual,8.0,0.0
25000.0, 60,13.99,581.58,C,C4,Executive Assistant,9 years,MORTGAGE,79000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,34.53,Jun-2001,33.0,0.0,22519.0,18.6,72.0,w,Individual,6.0,0.0
16800.0, 60,12.88,381.23,C,C2,CEO,10+ years,MORTGAGE,118000.0,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,34.29,Jun-1997,11.0,1.0,7849.0,24.1,46.0,w,Individual,4.0,0.0
7000.0, 36,7.49,217.72,A,A4,Carrier,10+ years,MORTGAGE,59000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.06,Oct-1996,10.0,0.0,10467.0,24.2,34.0,w,Individual,3.0,0.0
21000.0, 60,13.99,488.53,C,C4,Resident physician,< 1 year,RENT,52000.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,14.47,Jan-2005,5.0,0.0,20374.0,87.4,15.0,w,Individual,0.0,0.0
27500.0, 60,14.85,652.06,C,C5,Manager,10+ years,MORTGAGE,195000.0,Not Verified,Dec-2015,Fully Paid,other,Other,6.79,Jul-2001,14.0,0.0,34974.0,50.9,19.0,w,Individual,1.0,0.0
7200.0, 36,11.48,237.36,B,B5,Legal Administrative Assistant,10+ years,MORTGAGE,72500.0,Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,8.47,Aug-2004,5.0,0.0,5449.0,35.2,7.0,w,Individual,2.0,0.0
20000.0, 36,14.85,691.84,C,C5,GM,6 years,RENT,110000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,12.45,Jun-2007,8.0,0.0,21374.0,84.5,12.0,w,Individual,0.0,0.0
20000.0, 36,15.77,700.88,D,D1,Clinical Intake,5 years,RENT,70000.0,Not Verified,Dec-2015,Fully Paid,house,Home buying,22.21,Jul-2004,24.0,0.0,19077.0,36.6,63.0,w,Individual,1.0,0.0
10000.0, 60,17.97,253.78,D,D4,Educator ,2 years,MORTGAGE,55000.0,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,35.7,Apr-2001,14.0,0.0,38623.0,78.0,28.0,w,Individual,6.0,0.0
16000.0, 60,13.99,372.21,C,C4,Registered Nurse,9 years,MORTGAGE,142000.0,Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,17.74,Oct-2004,15.0,2.0,2273.0,39.9,19.0,w,Individual,1.0,0.0
20000.0, 36,9.8,643.47,B,B3,Manager,5 years,RENT,75000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.45,May-1992,14.0,0.0,7558.0,9.6,26.0,w,Individual,1.0,0.0
8650.0, 36,5.32,260.5,A,A1,Associate Consultant,< 1 year,MORTGAGE,100000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,7.28,Jul-2001,15.0,0.0,7158.0,26.7,24.0,w,Individual,1.0,0.0
21000.0, 60,13.44,482.56,C,C3,Teacher,2 years,RENT,54649.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.14,Oct-1999,9.0,1.0,1581.0,26.8,44.0,w,Individual,2.0,1.0
7200.0, 36,15.77,252.32,D,D1,Bank Officer Senior Customer Care Spec.,< 1 year,RENT,55000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,,17.35,Jun-2005,24.0,1.0,5938.0,69.0,43.0,w,Individual,0.0,0.0
8800.0, 36,9.8,283.13,B,B3,Sales Representative/ Agent,10+ years,MORTGAGE,92000.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,5.18,Nov-2001,9.0,0.0,9195.0,76.6,24.0,w,Individual,2.0,0.0
14650.0, 60,20.5,392.23,E,E4,Senior Service Specialist,2 years,RENT,43160.0,Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,21.44,Oct-2005,12.0,0.0,11378.0,101.6,24.0,w,Individual,0.0,0.0
2500.0, 36,17.27,89.47,D,D3,Teacher,10+ years,MORTGAGE,50000.0,Verified,Dec-2015,Fully Paid,other,Other,17.6,Jan-2001,7.0,0.0,732.0,31.1,22.0,w,Individual,0.0,0.0
11000.0, 36,9.17,350.67,B,B2,PRINTER,10+ years,MORTGAGE,69000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,21.34,Sep-2004,9.0,0.0,8137.0,84.8,18.0,w,Individual,2.0,0.0
23850.0, 60,17.27,596.21,D,D3,Teacher,10+ years,OWN,68046.0,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,24.71,Sep-1993,12.0,0.0,28220.0,91.3,33.0,f,Individual,4.0,0.0
15700.0, 60,16.59,386.74,D,D2,Teacher,6 years,MORTGAGE,48000.0,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,29.13,Nov-2005,19.0,0.0,15458.0,64.9,28.0,w,Individual,1.0,0.0
28800.0, 60,11.99,640.5,C,C1,Office Manager,10+ years,OWN,60000.0,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,18.01,Feb-1989,21.0,0.0,18421.0,10.5,37.0,w,Individual,2.0,0.0
10000.0, 36,12.88,336.37,C,C2,Contract Specialist,4 years,MORTGAGE,91392.0,Not Verified,Dec-2015,Fully Paid,house,Home buying,9.44,Sep-2006,13.0,0.0,6959.0,41.7,33.0,f,Individual,3.0,0.0
24000.0, 60,9.8,507.58,B,B3,,,OWN,77900.0,Not Verified,Dec-2015,Current,home_improvement,Home improvement,10.24,Oct-1982,9.0,0.0,3454.0,10.3,21.0,w,Individual,2.0,0.0
28000.0, 60,18.49,718.51,D,D5,Engineer,10+ years,MORTGAGE,75000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,31.88,Oct-2002,27.0,0.0,43413.0,51.9,46.0,w,Individual,2.0,0.0
35000.0, 60,11.99,778.38,C,C1,Foreign Service Officer,10+ years,MORTGAGE,128000.0,Source Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,6.46,Feb-1990,17.0,0.0,14277.0,27.4,46.0,w,Individual,5.0,0.0
7200.0, 36,9.17,229.53,B,B2,Site lead,10+ years,MORTGAGE,50000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,19.25,Aug-1987,13.0,0.0,9051.0,47.6,25.0,w,Individual,3.0,0.0
10000.0, 36,7.91,312.95,A,A5,Teacher,2 years,RENT,40100.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,10.81,Oct-1998,4.0,0.0,6664.0,45.0,7.0,w,Individual,0.0,0.0
16000.0, 60,13.44,367.67,C,C3,Merchandise Manager,1 year,RENT,42000.0,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,9.6,Apr-2002,29.0,0.0,11834.0,44.8,48.0,w,Individual,0.0,0.0
21875.0, 36,11.99,726.46,C,C1,Wire Technician,< 1 year,RENT,47590.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,17.76,Apr-2001,9.0,0.0,24882.0,57.1,14.0,w,Individual,0.0,0.0
14025.0, 60,18.49,359.9,D,D5,accts payable,10+ years,MORTGAGE,39000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18.0,Aug-2001,12.0,0.0,15646.0,74.9,21.0,w,Individual,3.0,0.0
35000.0, 60,12.88,794.21,C,C2,Lieutenant ,7 years,MORTGAGE,106000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,17.36,Apr-2002,8.0,0.0,39055.0,72.1,27.0,w,Individual,4.0,0.0
20000.0, 36,12.88,672.73,C,C2,President,10+ years,MORTGAGE,145000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.28,Feb-2004,12.0,0.0,22551.0,80.2,21.0,w,Individual,5.0,0.0
14000.0, 60,14.85,331.96,C,C5,Accountant,2 years,MORTGAGE,60000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,,24.29,Aug-2009,11.0,0.0,12718.0,73.9,24.0,w,Individual,0.0,0.0
16000.0, 60,8.49,328.19,B,B1,Supervisor,5 years,MORTGAGE,62000.0,Source Verified,Dec-2015,In Grace Period,credit_card,Credit card refinancing,28.92,Mar-2002,10.0,0.0,15763.0,51.2,24.0,w,Individual,3.0,0.0
28000.0, 60,14.85,663.92,C,C5,Division General Manager,2 years,MORTGAGE,85000.0,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,28.52,Nov-1999,19.0,0.0,36814.0,71.8,29.0,w,Individual,2.0,0.0
20000.0, 60,13.99,465.27,C,C4,Facilities Coordinator,10+ years,OWN,70000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,16.9,Jun-2001,20.0,0.0,31200.0,42.0,35.0,w,Individual,0.0,0.0
17600.0, 60,19.89,465.22,E,E3,RN,< 1 year,RENT,44000.0,Verified,Dec-2015,Current,credit_card,,17.56,Jun-2006,7.0,0.0,12900.0,102.4,25.0,w,Individual,0.0,0.0
4200.0, 36,13.44,142.41,C,C3,Manager,10+ years,MORTGAGE,102500.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,26.21,Jan-1999,14.0,0.0,11947.0,88.5,37.0,w,Individual,7.0,0.0
19000.0, 60,14.85,450.52,C,C5,Application Analyst,9 years,OWN,75000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.09,Jun-2000,15.0,0.0,17771.0,63.7,34.0,w,Individual,3.0,0.0
15850.0, 60,23.13,448.01,F,F2,Lead manufacturing ,10+ years,OWN,45000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,34.85,Jan-2007,18.0,0.0,8799.0,21.3,24.0,f,Individual,0.0,0.0
10000.0, 60,11.99,222.4,C,C1,CARDIOVASCULAR TECH,10+ years,RENT,42500.0,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,31.04,Dec-1998,10.0,0.0,5812.0,40.9,23.0,w,Individual,0.0,0.0
30000.0, 36,15.77,1051.31,D,D1,Vice-President,2 years,MORTGAGE,175000.0,Not Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,18.5,Aug-1997,9.0,0.0,21831.0,50.3,23.0,w,Individual,3.0,0.0
1500.0, 36,6.49,45.97,A,A2,,,MORTGAGE,45000.0,Not Verified,Dec-2015,Fully Paid,vacation,Vacation,16.11,Dec-1987,12.0,0.0,3717.0,21.2,37.0,w,Individual,4.0,0.0
25000.0, 36,5.32,752.87,A,A1,Director,1 year,MORTGAGE,150000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,9.54,Feb-1996,7.0,0.0,19339.0,42.5,18.0,w,Individual,7.0,0.0
16250.0, 60,13.44,373.41,C,C3,Radiology Tech.,2 years,MORTGAGE,50000.0,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,34.95,Apr-1990,15.0,0.0,27336.0,94.9,21.0,w,Individual,2.0,0.0
20200.0, 60,18.49,518.35,D,D5,Manager,4 years,RENT,60000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,34.84,Jun-2004,10.0,1.0,8284.0,40.6,16.0,w,Individual,0.0,1.0
23975.0, 60,19.89,633.73,E,E3,Principal,10+ years,RENT,70000.0,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,33.2,Jun-1995,10.0,0.0,44807.0,94.9,19.0,w,Individual,3.0,0.0
15000.0, 60,10.78,324.5,B,B4,Senior Buyer,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.28,Aug-2001,18.0,0.0,24723.0,69.8,32.0,w,Individual,1.0,0.0
10000.0, 36,10.78,326.35,B,B4,Lpn,3 years,MORTGAGE,41600.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.78,Oct-2004,18.0,0.0,12958.0,52.5,33.0,w,Individual,2.0,0.0
15000.0, 36,8.49,473.45,B,B1,Senior Associate,6 years,MORTGAGE,110000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.24,Dec-2002,16.0,1.0,19029.0,41.4,33.0,w,Individual,4.0,1.0
23100.0, 60,20.5,618.46,E,E4,Regional Sales Direcdtor,2 years,OWN,110000.0,Not Verified,Dec-2015,Charged Off,car,Car financing,20.43,Aug-1986,11.0,0.0,20594.0,94.9,24.0,w,Individual,2.0,0.0
27300.0, 36,17.27,977.0,D,D3,groundsman,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,Charged Off,home_improvement,Home improvement,25.63,Nov-2002,14.0,0.0,31035.0,83.0,38.0,w,Individual,2.0,0.0
25000.0, 60,11.48,549.57,B,B5,Project Manager,10+ years,MORTGAGE,135000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,4.65,Oct-2004,16.0,0.0,7340.0,13.5,33.0,w,Individual,5.0,0.0
15000.0, 36,10.78,489.52,B,B4,Coaching General Manager,1 year,RENT,40000.0,Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,10.17,Oct-2006,7.0,0.0,12272.0,75.3,9.0,w,Individual,0.0,0.0
10000.0, 60,16.59,246.33,D,D2,Emergency Department technician ,< 1 year,RENT,30000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,30.84,Sep-2000,19.0,1.0,6118.0,26.6,36.0,w,Individual,0.0,1.0
18500.0, 60,12.88,419.8,C,C2,Supply Chain Coord.,10+ years,MORTGAGE,70000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.2,Jun-2002,9.0,0.0,15883.0,57.8,19.0,w,Individual,2.0,0.0
5000.0, 36,7.91,156.48,A,A5,Property Manager,6 years,RENT,32000.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,13.73,Feb-2012,7.0,1.0,5552.0,41.1,10.0,w,Individual,0.0,1.0
9000.0, 36,9.17,286.92,B,B2,Truck Driver,1 year,OWN,50000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,11.98,Jun-2001,5.0,0.0,7518.0,48.5,11.0,w,Individual,2.0,0.0
11000.0, 36,6.49,337.09,A,A2,material handler lead,10+ years,MORTGAGE,85000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,15.0,Apr-2005,12.0,0.0,9488.0,20.1,31.0,w,Individual,0.0,0.0
20000.0, 36,6.49,612.89,A,A2,"TEAM LEAD, QUALITY ENGINEER",6 years,MORTGAGE,55000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.15,Sep-1994,9.0,0.0,4851.0,23.8,23.0,w,Individual,1.0,0.0
15000.0, 36,5.32,451.73,A,A1,,,RENT,80000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,20.18,Apr-1993,30.0,0.0,41593.0,21.4,47.0,w,Individual,2.0,0.0
12000.0, 36,5.32,361.38,A,A1,Network Operation Engineer,4 years,MORTGAGE,53750.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.3,Sep-2007,8.0,0.0,3172.0,17.2,19.0,w,Individual,2.0,0.0
8000.0, 36,10.78,261.08,B,B4,Counselor,< 1 year,MORTGAGE,45000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.23,Jan-1998,28.0,0.0,11141.0,35.5,69.0,w,Individual,2.0,0.0
12000.0, 36,10.78,391.62,B,B4,Salesman,3 years,RENT,40000.0,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,31.95,May-2008,16.0,0.0,11008.0,41.4,22.0,w,Individual,0.0,0.0
18000.0, 36,7.49,559.83,A,A4,Systems Support Engineer,5 years,MORTGAGE,75000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.65,Mar-2001,12.0,0.0,7758.0,33.2,47.0,w,Individual,1.0,0.0
3600.0, 36,11.48,118.68,B,B5,Systems Administrator,< 1 year,MORTGAGE,85000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.44,Apr-1994,12.0,1.0,6952.0,28.7,23.0,w,Individual,1.0,1.0
7200.0, 36,17.27,257.67,D,D3,Department Manager ,9 years,OWN,20000.0,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,13.21,Apr-2003,8.0,0.0,7302.0,32.6,17.0,w,Individual,0.0,0.0
15000.0, 60,13.44,344.69,C,C3,Counselor,4 years,RENT,77213.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,18.17,Dec-2001,17.0,1.0,59237.0,25.8,44.0,w,Individual,1.0,1.0
5000.0, 36,9.8,160.87,B,B3,Accounts Payable Manager,6 years,OWN,72000.0,Not Verified,Dec-2015,Fully Paid,other,Other,6.52,Jan-2002,11.0,1.0,4838.0,56.3,20.0,f,Individual,2.0,1.0
11550.0, 60,16.59,284.51,D,D2,general manager,5 years,RENT,38000.0,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,21.07,Jan-2011,9.0,0.0,7179.0,39.7,12.0,w,Individual,0.0,0.0
33600.0, 36,10.78,1096.53,B,B4,Aviation Safety Inspector,8 years,RENT,104000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,14.01,Nov-2000,14.0,0.0,28475.0,51.8,31.0,w,Individual,1.0,0.0
17925.0, 60,17.27,448.09,D,D3,IT Help Desk Support ,10+ years,OWN,39000.0,Source Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,27.78,Sep-2002,10.0,0.0,19614.0,76.0,21.0,w,Individual,4.0,0.0
17475.0, 36,13.99,597.17,C,C4,Software Testing Analyst,2 years,RENT,39750.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,23.58,May-2002,7.0,0.0,10987.0,52.3,13.0,w,Individual,0.0,0.0
9000.0, 36,8.49,284.07,B,B1,Office Manager,8 years,MORTGAGE,47000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,8.43,Nov-2000,12.0,0.0,9747.0,26.7,22.0,w,Individual,0.0,0.0
12000.0, 60,9.8,253.79,B,B3,Teacher,10+ years,MORTGAGE,65000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.84,Nov-2003,18.0,0.0,9786.0,13.4,37.0,w,Individual,2.0,0.0
4000.0, 36,9.17,127.52,B,B2,Store Manager,2 years,RENT,44500.0,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.83,Sep-2003,4.0,1.0,502.0,4.2,24.0,w,Individual,3.0,1.0
10500.0, 36,15.77,367.96,D,D1,Software Engineer,3 years,RENT,70100.0,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,8.51,Aug-2008,5.0,0.0,8280.0,77.4,10.0,w,Individual,0.0,0.0
14000.0, 36,9.8,450.43,B,B3,Master mechanic,4 years,MORTGAGE,100000.0,Not Verified,Dec-2015,Fully Paid,medical,Medical expenses,15.97,Dec-1997,7.0,0.0,34250.0,36.1,14.0,f,Individual,2.0,0.0
